tests/cpp/tstaticvar_via_typedesc.nim C++                   ( 0.76439595 secs)
tests/cpp/ttemplatetype.nim C++                             ( 0.83981299 secs)
tests/cpp/tthread_createthread.nim C++                      ( 0.79947090 secs)
tests/cpp/ttypeinfo.nim C++                                 ( 0.74832225 secs)
tests/cpp/ttypeinfo2.nim C++                                ( 0.71943331 secs)
tests/cpp/tvector_iterator.nim C++                          ( 0.73980904 secs)
tests/discard/tillegaldiscard.nim C                         ( 0.33414650 secs)
tests/discard/tneedsdiscard.nim C                           ( 0.29627585 secs)
tests/discard/tneedsdiscard_in_for.nim C                    ( 0.29945588 secs)
tests/discard/tvoidcontext.nim C                            ( 0.37162900 secs)
tests/overflw/toverflw.nim C                                ( 0.68464708 secs)
tests/overflw/toverflw2.nim C                               ( 0.60310912 secs)
tests/range/tcompiletime_range_checks.nim C                 ( 0.28450584 secs)
tests/range/tenums.nim C                                    ( 0.29871202 secs)
tests/range/tsubrange.nim C                                 ( 0.30758333 secs)
tests/range/tsubrange2.nim C                                ( 0.68375087 secs)
tests/range/tsubrange3.nim C                                ( 0.65982795 secs)
tests/global/t5958.nim C                                    ( 0.29488683 secs)
tests/sets/t2669.nim C                                      ( 0.28780746 secs)
tests/metatype/tmetatype_issues.nim C                       ( 0.82515216 secs)
tests/metatype/tsemistatic.nim C                            ( 0.65144420 secs)
tests/metatype/tstaticparammacro.nim C                      ( 0.62377048 secs)
tests/metatype/tunresolved_return_type.nim C                ( 0.30509925 secs)
tests/metatype/tvoid_must_not_match.nim C                   ( 0.29981875 secs)
tests/metatype/typeclassinference.nim C                     ( 0.33134294 secs)
tests/metatype/typedesc_as_value.nim C                      ( 0.29249406 secs)
tests/concepts/t3330.nim C                                  ( 0.31002355 secs)
tests/concepts/t4982.nim C                                  ( 0.33535075 secs)
tests/concepts/tconcepts_issues.nim C                       ( 1.62703562 secs)
tests/concepts/texplain.nim C                               ( 0.38001084 secs)
tests/concepts/titerable.nim C                              ( 0.63317537 secs)
tests/concepts/tmapconcept.nim C                            ( 0.93751287 secs)
tests/concepts/tmatrixconcept.nim C                         ( 0.68661904 secs)
tests/concepts/tstackconcept.nim C                          ( 1.01131463 secs)
tests/concepts/tvectorspace.nim C                           ( 0.63571763 secs)
tests/concepts/twrapconcept.nim C                           ( 0.37582469 secs)
tests/template/texponential_eval.nim C                      ( 0.78836012 secs)
tests/template/tgensym_instantiationinfo.nim C              ( 0.70481896 secs)
tests/template/thygienictempl.nim C                         ( 0.66156888 secs)
tests/template/tredefinition.nim C                          ( 0.30865026 secs)
tests/template/tscope.nim C                                 ( 0.31155658 secs)
tests/template/tsighash_regression.nim C                    ( 0.66270685 secs)
tests/template/ttempl2.nim C                                ( 0.31868291 secs)
tests/template/ttempl3.nim C                                ( 0.73160100 secs)
tests/template/twrong_getast.nim C                          ( 0.32382560 secs)
tests/template/twrongsymkind.nim C                          ( 0.29932237 secs)
tests/manyloc/keineschweine/keineschweine.nim C             ( 4.17253304 secs)
tests/manyloc/argument_parser/ex_wget.nim C                 ( 2.21956468 secs)
tests/manyloc/standalone/barebone.nim C                     ( 0.35365820 secs)
tests/manyloc/nake/nakefile.nim C                           ( 3.43519354 secs)
tests/manyloc/packages/noconflicts.nim C                    ( 0.75531030 secs)
tests/ccgbugs/t5296.nim C                                   ( 1.97094369 secs)
tests/ccgbugs/t6279.nim C                                   ( 1.01963544 secs)
tests/ccgbugs/t7079.nim C                                   ( 0.66325545 secs)
tests/ccgbugs/t7079.nim JS                                  ( 0.98728347 secs)
tests/ccgbugs/t8967.nim C                                   ( 2.08322740 secs)
tests/ccgbugs/t8967.nim C++                                 ( 4.35516620 secs)
tests/ccgbugs/t9098.nim C                                   ( 0.70803070 secs)
tests/ccgbugs/t9098.nim C++                                 ( 1.59156728 secs)
tests/ccgbugs/t9098.nim JS                                  ( 1.87584710 secs)
tests/ccgbugs/tassign_nil_strings.nim C                     ( 0.68614650 secs)
tests/ccgbugs/tcodegendecllambda.nim C                      ( 0.92027640 secs)
tests/ccgbugs/tcodegendecllambda.nim C++                    ( 1.74666643 secs)
tests/ccgbugs/tcodegendecllambda.nim JS                     ( 1.92567325 secs)
tests/ccgbugs/tforward_decl_only.nim C                      ( 0.63168573 secs)
tests/ccgbugs/thtiobj.nim C                                 ( 0.71854138 secs)
tests/ccgbugs/thtiobj.nim C++                               ( 1.63854599 secs)
tests/ccgbugs/tinefficient_const_table.nim C                ( 2.49150705 secs)
tests/ccgbugs/tmissingvolatile.nim C                        ( 1.85879731 secs)
tests/ccgbugs/tnil_type.nim C                               ( 0.66696215 secs)
tests/ccgbugs/tnil_type.nim C++                             ( 1.32033420 secs)
tests/ccgbugs/tprogmem.nim C                                ( 1.77900124 secs)
tests/ccgbugs/trecursive_closure.nim C                      ( 0.61253023 secs)
tests/ccgbugs/twrong_method.nim C                           ( 1.86253166 secs)
tests/ccgbugs/twrongrefcounting.nim C                       ( 0.96855307 secs)
tests/bind/tbind2.nim C                                     ( 0.30376291 secs)
tests/bind/tinvalidbindtypedesc.nim C                       ( 0.30349874 secs)
tests/bind/tnicerrorforsymchoice.nim C                      ( 1.14650011 secs)
tests/controlflow/tblock1.nim C                             ( 0.34039831 secs)
tests/controlflow/tstatret.nim C                            ( 0.35913849 secs)
tests/constraints/tconstraints.nim C                        ( 0.29921603 secs)
tests/stdlib/t10231.nim C++                                 ( 1.32944036 secs)
tests/stdlib/t8925.nim C                                    ( 0.34223819 secs)
tests/stdlib/tbase64.nim C                                  ( 0.94372940 secs)
tests/stdlib/tbitops.nim C                                  ( 1.12794948 secs)
tests/stdlib/tbitops2.nim C                                 ( 0.88352346 secs)
tests/stdlib/tcgi.nim C                                     ( 1.99190521 secs)
tests/stdlib/tfrexp1.nim C                                  ( 2.29202127 secs)
tests/stdlib/tfrexp1.nim C++                                ( 4.78035212 secs)
tests/stdlib/tfrexp1.nim JS                                 ( 6.82974148 secs)
tests/stdlib/tgetaddrinfo.nim C                             ( 1.49829865 secs)
tests/stdlib/tgetfileinfo.nim C                             ( 1.41191101 secs)
tests/stdlib/thashes.nim C                                  ( 2.10709429 secs)
tests/stdlib/thtmlparser.nim C                              ( 2.87225819 secs)
tests/stdlib/thttpclient_ssl.nim C                          ( 4.37168026 secs)
tests/stdlib/thttpcore.nim C                                ( 2.19236398 secs)
tests/stdlib/tintsets.nim C                                 ( 1.09876204 secs)
tests/stdlib/tjson_unmarshall.nim C                         ( 1.78780317 secs)
tests/stdlib/tjsonexternproc.nim C                          ( 1.40035510 secs)
tests/stdlib/tjsonmacro.nim C                               ( 2.35989404 secs)
tests/stdlib/tjsonmacro.nim JS                              ( 3.36483121 secs)
tests/stdlib/tjsonmacro_reject.nim C                        ( 0.76662564 secs)
tests/stdlib/tlists.nim C                                   ( 0.85160041 secs)
tests/stdlib/tlocks.nim C                                   ( 0.78777838 secs)
tests/stdlib/tmarshal.nim C                                 ( 2.02757716 secs)
tests/stdlib/tmath.nim C                                    ( 3.03579545 secs)
tests/stdlib/tmemfiles1.nim C                               ( 1.29412389 secs)
tests/stdlib/tmemfiles2.nim C                               ( 1.25978804 secs)
tests/stdlib/tmemlines.nim C                                ( 1.38792086 secs)
tests/stdlib/tmemlinesBuf.nim C                             ( 1.25147629 secs)
tests/stdlib/tmemmapstreams.nim C                           ( 1.29558969 secs)
tests/stdlib/tmemslices.nim C                               ( 1.24381113 secs)
tests/stdlib/tmget.nim C                                    ( 1.70779085 secs)
tests/stdlib/tmitems.nim C                                  ( 2.51977468 secs)
tests/stdlib/tnet.nim C                                     ( 2.32449174 secs)
tests/stdlib/tnet_ll.nim C                                  ( 1.85666275 secs)
tests/stdlib/tnetbind.nim C                                 ( 1.42776537 secs)
tests/stdlib/tnetdial.nim C                                 ( 2.27595544 secs)
tests/stdlib/tnre.nim C                                     ( 4.303
tests/destructor/t12037.nim C                               ( 0.96819639 secs)
tests/destructor/t7346.nim C                                ( 0.64768457 secs)
tests/destructor/tarc.nim C                                 ( 1.90272117 secs)
